release_speed,release_spin_rate,pfx_x,pfx_z,release_pos_x,release_pos_z,plate_x,plate_z,release_extension,p_throws
87.8,2610.0,0.31,0.27,-2.07,5.31,0.2966672642502047,1.9743807662731216,7.2,1
88.0,1943.0,0.88,1.06,2.42,6.63,0.1311486200639487,1.271302860315085,6.8,0
90.9,2298.0,-0.15,1.55,1.52,6.17,-0.4671321326873435,2.3844825836979746,6.7,0
96.1,2339.0,-0.44,1.5,-1.74,6.0,-1.284768179495544,3.396421627612534,7.1,1
88.2,2356.0,-0.06,1.65,1.62,6.15,-0.3155851272888711,2.378176354800442,6.4,0
75.4,2200.0,-0.33,-1.17,1.12,6.25,-0.2732702396573846,0.8218270045500402,6.3,0
93.3,2096.0,1.23,0.78,0.77,6.24,0.2712508432068173,2.949727358824737,5.8,0
81.7,2336.0,0.5,0.22,-1.95,5.74,1.0720887328909157,2.5375584263233573,6.9,1
95.9,2728.0,-0.2,1.18,-1.97,5.37,0.0610988486081592,3.773597552764725,7.4,1
79.9,2469.0,-0.83,-0.96,2.16,6.54,0.0575915252324322,-0.3377831377711513,7.1,0
81.0,2925.0,-0.78,-1.44,0.64,6.15,-1.136852774981438,0.865729420689112,6.1,0
97.3,2501.0,-0.91,1.53,-1.69,6.03,-0.0210892249824197,3.467826056052061,6.1,1
86.8,2052.0,1.21,0.95,2.33,6.67,1.8240541230233416,1.951432384218513,6.9,0
98.8,2536.0,-0.39,1.65,-1.72,5.86,0.7008307699005653,2.014887940901513,7.3,1
97.6,2545.0,-0.97,1.7,-1.85,5.91,-1.0750599735583557,2.560192074785472,6.6,1
96.1,2506.0,0.18,1.55,1.84,6.57,-0.3869852887428416,2.539748124867773,7.0,0
92.0,2373.0,0.27,0.94,-2.17,6.06,0.2185325384191138,3.017949010554245,6.3,1
80.8,2450.0,-0.69,-0.43,1.88,6.7,-1.074228795013786,0.8025055328202835,6.7,0
75.3,2764.0,-0.83,-1.57,1.09,6.01,-0.3997510703055509,0.3466259601279864,6.6,0
94.6,2262.0,1.34,0.81,0.51,6.29,0.1333874107296542,2.0045263890810565,6.0,0
97.2,2247.0,1.43,0.65,0.49,6.27,0.2067461921219049,1.2995331481737369,5.7,0
86.6,2408.0,0.33,0.23,-2.17,5.9,0.6501420881071314,1.6981075878990932,7.0,1
73.2,2310.0,-0.15,-1.19,1.16,6.32,0.0734738577673651,0.4298738094634879,6.5,0
89.0,2581.0,0.22,-0.01,-2.32,6.16,0.6793220326486393,1.5850627342499397,5.8,1
82.6,2531.0,1.56,0.39,-2.23,5.06,0.6129611535008341,2.184617275545825,7.0,1
82.5,2766.0,0.53,-1.37,-1.96,6.09,0.9026246810397748,0.3758925903273447,6.2,1
96.8,2229.0,-0.17,1.17,-2.18,5.56,0.0502036982660717,2.42521466429568,7.0,1
84.7,2206.0,0.31,0.05,-2.21,6.12,-0.6427326236792702,2.5195824192510714,6.3,1
96.9,2354.0,-0.78,1.56,-2.3,5.93,-1.3055247706370925,4.689405801363298,6.1,1
97.8,2344.0,-0.54,1.48,-2.02,5.97,-0.1272353923091611,2.47979422456347,7.1,1
97.8,2515.0,-0.59,1.89,-1.9,5.75,1.3368049998498313,2.276141496237545,7.1,1
94.9,2393.0,-0.59,1.49,-2.04,5.98,-0.1799667501034508,5.255434382501568,5.9,1
85.0,2566.0,1.1,0.39,-2.27,5.52,2.19298921236729,0.6526524911534284,7.0,1
97.9,2237.0,-0.61,1.58,-1.86,5.85,0.0974323066495405,3.1495632431558738,7.1,1
84.7,2454.0,0.99,0.1,-2.47,5.53,0.2077412759912242,2.363415724122667,6.9,1
95.0,2268.0,0.45,1.5,2.08,6.63,1.6978730823411872,3.83874278427045,6.9,0
86.0,2755.0,1.34,0.04,-2.23,5.07,0.8277113739038635,0.6744087314881653,7.2,1
84.8,2679.0,1.44,0.13,-2.51,5.58,-0.4517314343871865,2.748969579636563,6.8,1
98.3,2514.0,-0.17,1.24,-2.41,5.66,0.824302255988991,2.822046914054,6.9,1
84.4,2626.0,1.13,0.34,-2.11,4.93,0.490215264902775,0.9745802460835904,7.0,1
79.9,2742.0,-0.6,-0.74,0.81,6.18,-0.8390040821078901,1.644094474780618,6.1,0
95.4,2345.0,0.32,1.49,2.2,6.66,0.8917138247193337,3.0060743470863835,6.9,0
97.2,2430.0,-0.39,1.13,-2.15,5.79,-0.0625215619795306,2.72273894265374,6.3,1
94.3,2386.0,0.65,1.55,2.1,6.56,1.473181143838149,1.759410915698432,7.0,0
82.7,2425.0,1.06,-0.08,-1.71,6.56,1.5688755192187442,0.8506287219324649,6.6,1
87.5,1922.0,1.3,0.7,2.32,6.37,0.936508604288102,0.9157795050997928,6.9,0
96.8,2408.0,0.44,1.49,2.13,6.54,0.1917891374088877,2.3348442977091315,7.1,0
97.8,2708.0,-0.25,1.37,-1.9,5.29,0.7764822378377345,1.9328773327353428,7.4,1
91.2,2293.0,0.05,1.4,1.7,6.1,-0.8244388281781083,2.180606473769485,6.7,0
87.1,1940.0,0.94,1.22,2.07,6.53,0.3758953127277812,3.3622406766185424,6.8,0
85.8,2594.0,-0.54,0.25,1.18,6.15,-0.8288727354052847,-1.376385601972753,6.5,0
90.4,2447.0,0.19,1.84,1.68,6.14,1.58945478336309,2.7443443269027883,6.8,0
91.8,2385.0,0.33,0.56,-2.52,5.77,-1.4423002802188138,2.93447950947108,6.7,1
96.8,2529.0,0.3,1.49,2.15,6.61,-0.5789021934114669,3.105443289647985,6.6,0
86.1,2652.0,1.2,0.16,-2.17,5.15,0.3485300401738436,2.130865588370801,7.3,1
96.0,2510.0,-0.68,1.37,-2.01,5.47,0.4533541274720338,4.198529639914043,7.1,1
85.6,2723.0,0.59,-0.95,-1.73,5.97,0.1409258147154596,1.4124183369986936,6.2,1
84.9,2557.0,-0.35,-0.19,1.78,5.94,1.5995557009279304,3.311646094030625,6.4,0
97.5,2250.0,-0.38,1.3,-2.02,5.91,0.3043380510183665,2.843956948322933,7.0,1
93.5,2163.0,1.43,0.91,0.6,6.17,0.1559193398607998,1.1284241655794702,6.0,0
91.6,2650.0,0.14,0.63,-1.97,5.37,0.3202602427800259,3.1506775952248045,7.0,1
94.0,2352.0,-0.54,1.36,-2.19,6.26,-0.7317609908964219,3.1018630691918005,5.8,1
97.5,2433.0,-0.42,1.48,-2.21,5.89,0.1906141209339085,3.832767978644599,6.4,1
96.8,2317.0,0.14,1.25,0.81,5.95,-0.1324986378057657,0.8292892696386991,6.8,0
87.1,,0.97,1.5,1.54,6.24,0.4981775333074184,0.891909581399148,6.5,0
95.0,2374.0,-0.68,1.54,-2.02,6.04,-1.0707801246702278,2.959432774841521,6.1,1
95.2,2290.0,-1.5,0.69,-2.03,5.46,-1.2035099296932452,1.9842156303095373,7.4,1
95.7,2326.0,-1.27,0.71,-1.98,5.6,-1.0456152699246513,3.331115007509505,7.3,1
98.2,2368.0,-0.67,1.34,-1.83,5.92,-0.0503203432007994,4.084595997986276,7.2,1
96.6,2173.0,1.3,0.79,0.61,6.34,0.0235539225360406,2.573558868715862,5.7,0
85.1,2453.0,0.78,0.13,-2.28,5.66,1.9440548719034387,0.7834864285423682,7.3,1
80.6,2824.0,-1.12,-0.35,1.43,5.96,-1.955285505439473,1.4033993473445805,6.5,0
98.9,2302.0,-0.29,1.62,-1.91,5.8,-0.9220568899455444,3.2434727694765826,7.1,1
95.2,2444.0,-0.63,1.02,-2.11,6.17,-1.126187736245386,3.1883440472324573,6.0,1
87.9,2312.0,0.03,1.65,1.79,6.07,-0.2218764998459303,1.8298307123838025,6.5,0
87.4,2333.0,-0.22,0.66,1.31,6.24,-0.0890195727001796,2.610998258684014,6.4,0
84.2,2646.0,1.48,0.29,-2.47,5.45,1.562900152374593,1.4019265609873712,7.1,1
84.1,2784.0,1.34,-0.03,-2.38,5.21,0.3062111677029244,1.3216237442866867,6.2,1
81.1,2775.0,-0.19,-0.77,0.99,5.99,0.2907703247191709,1.3246650154554789,5.9,0
96.1,2212.0,1.15,0.89,0.63,6.31,0.5379531119090255,2.47752721928955,6.0,0
85.3,2432.0,0.39,0.13,-2.19,5.74,0.42115889454424,1.811548068616892,6.3,1
82.8,2884.0,1.12,-0.86,-2.23,5.95,0.2294660445875966,3.2723959644372504,5.9,1
86.6,2479.0,0.5,0.06,-2.04,5.64,0.7053381057696171,1.0580443808482798,7.4,1
96.6,2167.0,1.29,0.72,0.54,6.21,-0.7679019084053276,2.1840606817700383,6.0,0
91.9,1862.0,1.35,-0.15,0.62,6.23,0.8097111632946389,1.9068434749528644,5.9,0
91.7,2214.0,0.59,1.26,1.33,6.01,-0.1471372797089496,2.862582701101016,6.6,0
91.6,2556.0,0.15,0.59,-2.0,5.33,0.2231177260711866,2.6373606716125417,6.9,1
94.1,2276.0,0.0,1.1,1.28,6.09,0.2497050031646413,2.330097507018089,6.6,0
93.2,2228.0,-1.4,0.59,-2.14,5.44,-2.470726867655352,2.2357372113199583,7.0,1
96.1,2333.0,-0.36,1.37,-1.93,5.97,0.2008915349417263,2.355158167105217,7.1,1
85.3,2494.0,-0.62,0.35,1.67,6.14,0.1412212109307965,2.0851196413473145,6.3,0
81.7,2423.0,-1.02,-0.81,1.91,6.53,0.1132670156217213,0.2442992990923298,6.6,0
83.0,2673.0,1.58,-0.33,-2.45,5.75,-0.0473556703173498,0.6546199749510393,6.8,1
98.0,2390.0,-0.13,1.34,-2.11,5.69,1.822558754512371,2.682033193542144,6.9,1
95.1,2373.0,-0.87,1.3,-2.14,5.93,0.3501211271511611,2.417059218799806,6.4,1
95.7,2221.0,0.82,1.23,0.58,6.29,0.0047181195896746,2.878608091382478,5.9,0
82.5,2617.0,1.5,0.02,-2.05,5.2,2.0171991152117545,1.0409581230050575,7.3,1
86.0,2482.0,0.69,-0.14,-2.1,5.87,1.647937652535167,0.7358640085720296,7.3,1
96.4,2285.0,-0.45,1.36,-1.87,5.75,-0.1831708157044704,1.847800982392488,7.3,1
92.3,2320.0,-0.31,1.86,1.3,6.1,0.0079982297591226,2.260163402578764,6.6,0
96.4,2517.0,0.34,1.58,1.98,6.57,-0.773679686720022,1.1302609649585662,7.1,0
91.3,2391.0,-0.18,1.49,1.6,5.98,0.5093591286127392,2.339668144639809,6.4,0
95.3,2473.0,0.74,1.64,2.2,6.7,0.3722786117756902,2.570471559048397,6.3,0
98.3,2451.0,-1.08,1.25,-2.16,5.77,0.1629231514436651,1.742787059536059,6.5,1
73.2,2064.0,-0.46,-1.2,1.16,6.29,0.0810834625701239,0.9748709463158028,6.2,0
82.5,2439.0,-1.01,-0.97,2.0,6.53,-0.4849063085645941,-0.7521555791676948,7.2,0
86.6,2215.0,-1.17,1.14,-2.34,5.85,0.8512176319508409,0.3450408834938081,7.2,1
95.4,2160.0,1.35,0.83,0.5,6.29,0.0536434960627889,2.638698969300516,5.9,0
96.0,2461.0,0.68,1.68,1.98,6.57,0.2504991634395583,3.1338564300382203,7.1,0
98.2,2441.0,-0.9,1.68,-1.66,5.64,0.1412752812101532,2.225235464174848,6.4,1
97.3,2469.0,-0.23,1.66,-1.71,5.89,0.3269524175358757,1.7974513653022814,7.0,1
86.3,2641.0,1.08,0.28,-2.35,5.51,0.7990853088161926,1.6626668183019766,7.1,1
90.3,2404.0,-0.07,0.38,0.68,5.98,-0.0509958908009435,2.096089806728805,5.8,0
82.5,2549.0,-1.32,-0.75,2.11,6.62,-0.274292622159799,1.9525101867189825,6.7,0
96.8,2470.0,0.38,1.59,2.09,6.6,-0.7273729072299896,1.3964354346972816,7.3,0
87.3,2430.0,-0.43,0.53,2.22,6.51,-1.1096530577324764,1.6374932764301562,6.8,0
71.9,2391.0,-0.73,-1.42,1.63,6.34,-1.0462357082488718,2.6102199306854024,6.6,0
88.1,2420.0,0.47,0.47,-2.24,5.78,0.9993082626648304,2.3287614188321526,7.0,1
97.4,2430.0,-0.44,1.17,-1.59,5.78,0.5934785804062286,2.1862836198582185,6.4,1
86.9,2599.0,0.71,0.15,-2.09,5.3,0.3575010327198319,1.3909120812847582,7.0,1
94.9,2231.0,0.99,0.46,0.66,6.26,-0.4747219749106509,3.157171187847424,6.0,0
94.8,2188.0,-0.22,0.77,0.95,5.99,-0.6294212577022666,2.7522647951700168,6.6,0
99.6,2354.0,-0.52,0.99,-2.21,5.48,-0.160410886970467,1.9360494599979312,7.0,1
80.2,2226.0,-1.41,-0.98,2.02,6.57,-0.528064211423398,1.3288023614329805,6.8,0
86.6,2332.0,-0.4,0.4,1.48,6.0,1.5912880788947907,3.0318627405119325,6.2,0
96.6,2072.0,1.43,0.7,0.49,6.08,-0.7735524681690706,1.597995407005302,6.1,0
81.2,2486.0,-0.97,-0.89,2.1,6.64,0.1954229428295916,0.1688551346563289,6.7,0
96.8,2255.0,1.46,0.72,0.45,6.28,-0.3739988467262152,2.339719424886178,5.8,0
96.3,2450.0,-0.05,1.45,2.14,6.54,-0.1685994354761677,3.179127293817402,6.9,0
84.7,2554.0,-0.26,-0.26,0.74,5.96,0.2410063802632783,2.4715291463883946,5.9,0
99.5,2246.0,-0.4,1.21,-2.58,5.63,0.1553546212635007,1.943396138697203,7.2,1
97.6,2349.0,-0.75,1.21,-1.86,5.96,0.5654318110636019,1.8426072462490104,7.2,1
91.9,2361.0,0.27,1.6,1.47,5.99,0.5487443462874904,1.9014704801677065,6.6,0
95.7,2389.0,-0.61,0.96,-2.4,5.98,0.8188957197971959,2.5797128100149544,6.1,1
94.3,2427.0,0.24,1.69,1.93,6.58,-0.4125226176115941,1.9655245079981984,7.0,0
79.8,2703.0,1.17,-0.86,-1.87,5.4,0.910483032523438,0.9141319232935246,6.8,1
94.5,2201.0,1.41,0.74,0.76,6.28,0.1544923158928952,2.221067868856507,5.9,0
84.5,2336.0,0.2,0.02,-2.19,5.89,1.353594173989761,0.5610030910163606,7.2,1
95.3,2327.0,0.39,1.57,2.15,6.61,0.772038912847159,3.3869588961550967,6.8,0
94.5,2359.0,-0.35,1.16,-2.28,6.03,-0.3972633211093572,4.21060295781071,6.2,1
97.1,2377.0,-0.76,1.47,-2.08,5.97,-0.1073218826765314,2.199492339857228,7.1,1
79.8,2705.0,0.78,-0.84,-2.21,5.51,-0.7305359065953778,2.3294075260204203,7.0,1
74.3,2894.0,-0.89,-1.31,1.21,6.14,-0.7928991540463436,1.7971764249734743,6.2,0
97.6,2376.0,-0.59,1.56,-2.11,5.7,0.1529232917128266,3.142961756756173,6.3,1
95.9,2419.0,0.12,1.56,2.14,6.6,0.5809069623802179,4.160450019029764,7.0,0
93.3,2293.0,-1.28,0.68,-2.19,5.11,-0.989124222316784,2.9071576718501806,7.3,1
91.4,2477.0,0.18,0.65,1.06,6.18,-1.6618436369156904,-0.2766275828056574,5.8,0
84.6,2515.0,1.32,0.51,-2.49,5.7,0.3534306216096849,2.022995546371241,6.7,1
94.7,1998.0,1.35,1.03,0.61,6.39,0.6010105530434177,2.6828182751962792,5.9,0
86.4,2149.0,0.29,0.34,-2.29,5.93,-0.0215853403444285,2.180969711722925,6.9,1
97.3,2429.0,-1.02,1.42,-1.71,5.97,0.0464369256056643,3.956683118175858,5.8,1
80.4,2790.0,-0.71,-1.26,0.7,6.2,-1.1813220239165858,1.3637576562062534,5.9,0
86.7,1754.0,1.04,0.6,2.3,6.46,0.0811453502692114,1.1109581407178968,7.1,0
90.4,2465.0,0.45,0.08,-2.5,5.86,-1.4040823650116518,1.7563378426846397,6.4,1
96.3,2442.0,-0.75,1.61,-1.72,6.02,0.9560915419045464,2.231687044149037,6.3,1
82.0,2761.0,1.09,-1.16,-2.15,6.11,0.5575419514766653,2.1679820130343943,6.5,1
91.2,2499.0,0.21,0.1,-2.18,5.8,1.218833615372638,0.0277220923106886,6.3,1
95.7,2443.0,-0.61,1.63,-1.76,6.06,-0.2586986078960553,2.528897905226541,5.9,1
90.4,2311.0,0.41,0.6,-2.3,5.62,0.5009818037033551,2.319505365138784,6.9,1
96.8,2463.0,-0.52,1.49,-2.24,6.07,-0.0046826157025978,4.695832197603722,6.2,1
96.3,2590.0,0.35,1.45,2.18,6.69,-0.1111736077460526,2.8345983184604866,7.0,0
86.2,1478.0,1.56,0.43,1.6,5.63,0.7132241808661286,1.2853654931521836,6.4,0
89.1,2461.0,-0.52,0.38,1.51,5.9,-0.1269627275297284,1.9305207404095184,6.3,0
97.8,2409.0,-0.66,1.46,-1.72,6.09,-0.1497348206058395,3.70980444391347,6.4,1
88.1,2582.0,0.41,-0.02,-2.15,5.96,-0.2341509956008818,2.4364945325126555,6.3,1
97.9,2326.0,-0.41,0.58,-2.51,5.37,0.3736794061551177,1.944901549152196,6.6,1
96.7,2459.0,-0.85,1.51,-1.93,5.87,-0.118809820690418,3.748748347673862,6.5,1
91.9,2443.0,0.15,0.55,-2.48,5.4,-1.139926518488137,3.086128170746952,6.9,1
97.1,2426.0,-0.38,1.54,-1.83,5.92,0.0168908852753362,0.8928753892283104,7.0,1
90.8,2283.0,-0.34,1.36,1.32,6.17,0.8509909766317861,2.513618954100936,6.4,0
83.4,2801.0,0.65,-1.0,-2.49,5.91,-0.8200389223144667,0.4365633685916417,5.9,1
91.6,2602.0,0.31,0.64,-2.07,5.98,0.4760033152433468,3.2835279453909583,6.3,1
83.0,2489.0,1.12,0.24,-2.43,5.64,0.3396178551982655,1.3053023431182007,7.0,1
82.9,2731.0,1.05,-0.76,-1.68,6.13,0.8296904360092178,2.0522052703363256,6.0,1
86.3,2512.0,1.61,0.03,-2.26,5.88,-0.0912924538340231,2.720743649925121,6.9,1
88.0,1707.0,0.95,1.14,2.27,6.35,0.8546324735859584,2.386196665786289,6.9,0
94.6,2506.0,-0.61,1.23,-1.85,5.23,-0.8991816036681118,2.414254922134216,7.4,1
83.7,2455.0,-0.37,0.8,1.95,6.23,0.1762769614883739,2.656754738265415,6.4,0
97.9,2342.0,-0.52,1.43,-1.84,5.87,0.5768060479724146,3.8345791272981455,7.0,1
95.4,2224.0,-0.06,1.13,-2.31,5.51,-0.112610389252733,2.872586105702074,7.0,1
96.6,2420.0,-0.42,1.57,-2.15,6.02,-0.0482386190568779,2.660910468649386,6.9,1
86.5,2346.0,-0.23,0.87,1.29,6.16,-0.4741088573606717,1.6170654064384498,6.7,0
93.9,2102.0,1.24,0.6,0.71,6.08,-0.1763703092514186,3.259370680697734,6.0,0
97.5,2410.0,0.18,1.5,2.03,6.48,0.6293410793589429,2.492847937556822,7.1,0
94.5,2175.0,1.47,0.64,0.65,5.99,-0.1221700164092591,1.8941871457133708,6.1,0
94.6,2381.0,0.44,1.53,1.96,6.65,-0.0750226855965902,1.8834788698664564,6.8,0
97.7,2392.0,-0.63,1.45,-2.13,5.96,-0.2344928464683043,1.4769737287349174,6.4,1
85.1,1433.0,1.19,0.32,1.46,5.75,1.2327378794928967,1.8131684599561644,6.5,0
84.9,2558.0,-0.27,0.1,1.24,6.07,-0.4871349417896549,3.3638304019082503,5.8,0
89.5,2289.0,-0.07,1.25,2.1,6.59,-0.5787855538360028,1.5981278481488417,7.0,0
84.4,2294.0,0.55,-0.04,-1.99,5.77,-0.0055904540053816,2.251234123530044,6.8,1
95.6,2395.0,0.44,1.52,2.2,6.71,0.4512394521548623,3.647783468041042,6.9,0
96.9,2582.0,-0.67,1.52,-1.79,5.38,0.8397430297108743,2.105357293678631,7.8,1
97.7,2510.0,-0.94,1.56,-1.86,6.01,-0.3947897284316644,2.289288522451497,6.5,1
87.5,1701.0,1.27,0.53,0.75,6.31,0.246724363307947,1.3342118584421343,6.1,0
81.3,2760.0,-0.76,-1.13,0.75,6.16,0.1520885216230456,2.6006509376255083,5.9,0
96.7,2303.0,-0.32,1.53,-2.08,6.03,0.8981422481442018,2.596753828344327,7.1,1
80.6,2789.0,-0.39,-0.97,0.88,5.96,-1.1772316181836018,-0.5692161323528482,6.0,0
97.1,2377.0,-0.29,1.41,-2.16,5.65,0.4637617226610588,0.6396547326622218,7.0,1
82.4,2825.0,0.87,-1.24,-1.86,5.92,-1.8808013785479707,3.199535235919792,5.7,1
99.0,2393.0,-0.52,1.38,-2.15,5.93,-0.1818732844661807,3.280273170981631,6.6,1
90.7,2370.0,-0.01,1.39,1.49,6.23,-0.4258584693784304,2.381203655649825,6.4,0
90.6,2474.0,-0.37,1.33,1.38,6.18,-0.8914021020226944,4.116431619300851,6.3,0
86.9,2370.0,-0.05,1.01,1.43,6.27,0.7528624235804354,2.611233191652271,6.3,0
96.4,2143.0,-0.81,0.45,-2.46,5.51,-0.3312546927911092,2.868327212472362,7.0,1
87.5,2353.0,-0.28,0.75,1.51,6.25,-0.3670813451877575,1.3074653862778218,6.4,0
83.9,2814.0,0.47,-1.04,-1.68,5.86,-0.0732782263802558,1.1910068679756294,6.1,1
95.6,2266.0,-0.15,1.35,-2.01,5.86,-0.5836169570160503,3.814443061738764,7.0,1
80.6,2560.0,-0.93,-1.05,1.99,6.54,-1.0047435825902151,0.4250945076940313,7.0,0
94.6,2409.0,-1.11,0.81,-2.1,5.08,-1.351855373956082,2.273751241687516,7.3,1
92.2,2199.0,-0.03,1.14,-2.14,5.62,0.3821064278549914,2.990787593850324,7.1,1
82.0,2877.0,1.17,-0.94,-2.21,5.17,2.1079122342917547,0.258673553793852,7.2,1
95.4,2157.0,1.16,0.97,0.74,6.33,1.036681158968719,1.8187253725054904,5.7,0
88.3,2324.0,0.44,0.36,-2.23,5.86,1.6503664460125742,1.1015883251424077,7.1,1
85.1,2482.0,-0.43,0.25,1.7,5.93,-0.3750478351559089,1.9847404721927249,6.1,0
94.8,2196.0,-1.37,0.84,-2.12,5.43,-0.8460284409075478,2.6409013964957007,7.2,1
92.1,2373.0,0.2,0.6,-2.34,5.4,0.0345784571774418,2.9220975193005843,6.9,1
87.5,2513.0,-0.31,0.66,1.41,6.32,0.4279965680463736,2.3055849975367773,6.3,0
81.1,2755.0,0.99,-1.14,-2.19,5.54,-0.291765450872138,2.8007151020982217,6.1,1
82.1,2980.0,-0.58,-1.3,0.75,6.27,-1.5155274352853718,0.6762863192805453,5.7,0
92.2,2085.0,0.74,0.93,0.94,6.16,0.5406018313754559,2.545072488819628,6.6,0
79.0,2795.0,-0.75,-1.21,0.91,6.27,-1.2354817214752378,1.5090212697927576,6.1,0
90.4,1061.0,-0.61,0.39,-1.85,6.1,-0.6002937715423273,1.620608203535962,6.9,1
93.9,2406.0,0.38,1.65,2.0,6.67,-0.1623682223921105,3.040727770269556,7.3,0
98.0,2293.0,-0.38,1.39,-2.07,5.93,-0.327451471705138,3.749493603347073,6.9,1
82.8,2719.0,-0.85,-0.36,1.58,5.8,-1.0103594916158278,1.3223731920416526,6.3,0
89.9,2674.0,0.54,0.13,-2.23,5.87,0.9152802749547698,1.6182539127800348,6.3,1
95.8,2501.0,0.13,1.77,2.02,6.72,0.5337233415393879,4.056092136855255,6.7,0
86.7,2329.0,-1.33,1.28,-2.03,5.61,-0.6239760488303223,1.274192320176588,7.1,1
96.0,2364.0,-0.42,1.48,-2.06,5.98,-0.4494468553497113,2.34409955739536,7.0,1
95.7,2473.0,-0.21,1.17,-1.95,5.33,-0.1083963304774673,3.1074559058770177,7.3,1
96.9,2280.0,-1.32,0.57,-1.86,5.45,-0.919228623799092,3.1165441613250926,7.3,1
99.3,2277.0,-0.07,1.04,-2.39,5.52,-0.1297390416274444,3.666817360593815,6.9,1
95.9,2276.0,-0.84,1.61,-1.49,5.88,-0.7015980837829862,4.178852284623715,6.1,1
97.2,2411.0,0.3,1.42,2.07,6.69,-0.3621245845347833,4.042822413221457,6.6,0
84.2,2440.0,1.32,0.37,-2.39,5.34,-0.0587012028815154,3.584933162311109,6.7,1
90.1,2380.0,-0.28,0.47,2.06,6.51,-1.0230797918013912,1.0195668645695626,7.0,0
96.8,2527.0,0.66,1.6,2.29,6.47,1.3009533477761137,2.9544442794885346,6.8,0
87.0,2225.0,0.47,0.41,-2.35,5.95,0.0176244309844019,0.9578282699934356,6.9,1
95.5,2106.0,1.29,0.81,0.7,6.28,-0.5925881124893828,2.435972845283312,6.0,0
97.5,2278.0,-0.65,1.31,-2.16,5.83,1.2645311307538645,2.119407386526135,6.2,1
99.6,2436.0,-0.64,1.63,-1.92,5.69,0.0150046458792024,2.716942270548169,7.0,1
95.0,2355.0,0.08,1.33,2.07,6.79,-0.1948592756951984,3.146200144543616,6.9,0
80.1,2435.0,-0.58,-1.03,2.08,6.89,0.2173418314127705,1.5045289298928144,6.8,0
98.6,2496.0,-0.68,1.51,-2.16,5.77,0.3415114303469299,3.1790881261571813,6.3,1
97.5,2418.0,-0.67,1.44,-1.88,5.89,-0.128028847102141,2.173583432605488,7.1,1
79.6,2298.0,-0.86,-0.94,2.17,6.56,-0.4386302887222238,1.1335798068993013,6.7,0
96.4,2328.0,-0.52,1.47,-2.08,5.83,1.0887948148007571,2.070299290342734,6.2,1
89.8,2494.0,0.23,0.47,-2.04,5.51,-0.0297968603290204,2.63552938182878,7.1,1
91.5,1835.0,-1.5,0.43,-2.17,5.66,-0.6571150569432429,2.8472475396839627,7.0,1
82.9,1737.0,1.05,1.05,2.36,6.35,0.487218015693188,3.0093701778345663,6.9,0
92.4,2365.0,-0.02,1.52,1.62,6.17,-0.0395410946678442,2.4787440910192524,6.4,0
80.9,2831.0,-0.79,-0.73,0.72,6.0,-0.2692806084457833,2.271755858631923,5.9,0
81.7,2802.0,-0.38,-0.61,0.96,6.11,-0.161658347063729,1.884919248676984,5.7,0
90.0,2239.0,-0.12,1.32,1.59,6.21,-0.4292494246962279,3.703621796881908,6.5,0
86.8,2650.0,-0.62,0.03,1.59,6.17,-0.0965018726645238,0.9380978125860652,6.3,0
72.9,2298.0,-0.47,-1.32,0.96,6.38,0.1154880440176197,1.2543856647609228,6.4,0
73.9,2123.0,-0.45,-1.37,1.21,6.34,0.7905395637820847,2.31081445935585,6.3,0
95.1,2368.0,-0.69,1.63,-2.0,5.85,0.4084007081870613,2.797031487172924,6.8,1
94.3,2343.0,-0.67,1.52,-1.89,6.01,0.3293695287613661,2.6089067500837047,6.3,1
88.6,2513.0,0.31,0.57,-2.07,5.4,1.0679107458535784,2.086861640530932,6.9,1
88.0,2475.0,-0.58,0.28,1.5,6.18,-0.4391018928338379,1.6192303573873157,6.5,0
86.4,2309.0,0.67,0.31,-2.14,5.93,-0.1228426526836858,3.018400420510724,7.0,1
89.8,2366.0,0.38,0.45,-2.2,5.8,-0.3243825353039231,1.853276365756539,6.0,1
94.0,2318.0,-0.76,1.41,-2.05,6.05,0.1665734526166948,2.1993938151469914,7.2,1
97.7,2455.0,-0.62,1.58,-2.05,5.85,0.5558269973263451,2.111139000869339,6.9,1
74.4,2689.0,-0.93,-1.19,1.33,6.11,-0.7905328244331716,1.7262742666531778,6.5,0
90.7,2553.0,0.53,0.88,-2.01,6.04,1.0532342103535062,1.941585660808199,6.2,1
99.1,2456.0,-0.73,1.48,-2.09,5.85,0.007777955810352,2.166668117401493,6.3,1
81.0,2377.0,0.89,0.63,-2.37,5.42,-0.6216537598537615,1.7984339355744754,6.9,1
93.9,2415.0,0.41,1.7,2.23,6.8,0.3467005247774932,2.647189141567304,6.5,0
90.6,2514.0,0.46,0.21,-2.29,5.85,0.9385209904928296,0.6775500122463414,6.2,1
96.7,2460.0,-0.33,1.36,-2.29,5.68,-0.5267595576638939,4.319801954996955,7.0,1
87.2,2384.0,-0.48,0.49,2.15,6.57,-0.6887806545058769,-0.0477964581628536,6.9,0
97.8,2483.0,-0.38,1.17,-2.17,5.38,0.5505786216587061,2.7312712047190435,7.0,1
94.1,2164.0,1.29,0.82,0.7,5.97,0.2037942747862269,2.39174417495554,6.1,0
83.5,2324.0,0.24,0.04,-1.77,6.23,0.7802855698243154,0.9932928029274706,6.8,1
85.6,2237.0,0.33,0.34,-2.12,5.91,0.6696099246463616,0.8302933831415644,7.2,1
